"Canadian pipeline transport of oil and other liquid petroleum products, monthly (cubic metres)" 1
"Monthly"
"Table: 25-10-0056-01 (formerly CANSIM 133-0006)"
"Geography: Canada, Province or territory"

"","","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","","Barrels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Products","Pipeline","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018"
"",,"Barrels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crude oil and equivalent products 2","Exports 3","92,441,342","84,190,768","88,932,514","79,181,141","80,146,298","77,105,168","81,906,763","90,452,186","86,251,656","86,614,465","90,894,447","94,523,888","96,582,728","85,819,069","93,239,266","90,774,224","92,691,462","87,762,724","91,516,043","92,699,947","90,626,634","91,592,130","83,976,296","91,188,200","96,960,242","86,235,466","97,816,460","95,545,716","100,285,508","96,589,207","95,435,878"


Footnotes:
1,"Due to rounding, components may not add to total (where applicable)."
2,"Includes the following liquid hydrocarbons: crude oil, condensate, pentanes plus and synthetic crude oil."
3,"Exports include deliveries of Canadian produced oil, condensate, natural gas liquids and petroleum products destined for use outside of Canada."

"How to cite: Statistics Canada. Table 25-10-0056-01 Canadian pipeline transport of oil and other liquid petroleum products, monthly (cubic metres)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2510005601
